"","Order","Family","Genus_V_1.2","Species_V_1.2","TaxonID","Bin.","Synonyms.","Mass_g","WoS.Hits","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"212","DIDELPHIMORPHIA","Didelphidae","Philander","frenatus",NA,"Philander_frenatus","","",4,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"No record",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"213","DIDELPHIMORPHIA","Didelphidae","Philander","mcilhennyi",NA,"Philander_mcilhennyi","","",0,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"No record",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"214","DIDELPHIMORPHIA","Didelphidae","Philander","mondolfii",NA,"Philander_mondolfii","","",0,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"No record",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"215","DIDELPHIMORPHIA","Didelphidae","Philander","opossum",NA,"Philander_opossum","","",3,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"216","DIDELPHIMORPHIA","Didelphidae","Thylamys","velutinus",NA,"Thylamys_velutinus","","",2,1,1,"1",0,0,0,1,1,0,0,0,0,0,0,0,0,"",0,"Omnivore",1,1,0,0,0,"IUCN"
"217","EULIPOTYPHLA","Erinaceidae","Atelerix","albiventris",NA,"Atelerix_albiventris","","",0,1,1,"1",0,1,0,1,1,0,1,0,0,0,0,0,0,"",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"218","EULIPOTYPHLA","Erinaceidae","Atelerix","frontalis",NA,"Atelerix_frontalis","","",0,1,1,"1",0,1,0,1,1,0,1,0,0,0,0,0,0,"",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"219","EULIPOTYPHLA","Erinaceidae","Atelerix","sclateri",NA,"Atelerix_sclateri","","",0,1,1,"1",0,1,0,1,1,0,1,0,0,0,0,0,0,"",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"220","RODENTIA","Gliridae","Eliomys","melanurus",NA,"Eliomys_melanurus","","",0,1,1,"1",1,0,0,1,1,0,1,0,0,0,0,0,0,"Familie: Myoxidae in the book",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"221","RODENTIA","Gliridae","Eliomys","munbyanus",NA,"Eliomys_munbyanus","","",0,1,1,"1",1,0,0,1,1,0,1,0,0,0,0,0,0,"Familie: Myoxidae in the book",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"222","RODENTIA","Gliridae","Eliomys","quercinus",NA,"Eliomys_quercinus","","",9,1,1,"1",1,0,0,1,1,0,1,0,0,0,0,0,0,"Familie: Myoxidae in the book",1,"Omnivore",1,1,1,0,0,"Extrapolated"
"223","PRIMATES","Lorisidae","Nycticebus","coucang",NA,"Nycticebus_coucang","","",6,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",0,"Omnivore",1,1,1,0,0,"Nowak"
"224","PRIMATES","Lorisidae","Nycticebus","menagensis",NA,"Nycticebus_menagensis","","",0,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",2.1,"Omnivore",1,1,1,0,0,"Extrapolated"
"225","CHIROPTERA","Megadermatidae","Megaderma","lyra",NA,"Megaderma_lyra","","",3,1,1,"1",1,1,1,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",1,1,0,0,0,"Nowak"
"226","CHIROPTERA","Phyllostomidae","Mimon","bennettii",NA,"Mimon_bennettii","","",1,1,1,"1",0,2,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",1,1,0,0,0,"IUCN"
"227","CHIROPTERA","Phyllostomidae","Vampyrum","spectrum",NA,"Vampyrum_spectrum","","",1,1,1,"1",1,0,0,3,3,0,3,0,0,0,0,0,0,"",0,"Carnivore",1,0,0,0,0,"Nowak"
"228","PRIMATES","Pitheciidae","Pithecia","irrorata",NA,"Pithecia_irrorata","","",4,1,1,"1",1,0,0,0,1,0,1,0,0,1,0,0,0,"Belong to CEBIDAE in the book",1,"Omnivore",1,0,1,0,1,"Extrapolated"
"229","PRIMATES","Pitheciidae","Pithecia","monachus",NA,"Pithecia_monachus","","",2,1,1,"1",1,0,0,0,1,0,1,0,0,1,0,0,0,"Belong to CEBIDAE in the book",1,"Omnivore",1,0,1,0,1,"Extrapolated"
"230","EULIPOTYPHLA","Soricidae","Sorex","mirabilis",NA,"Sorex_mirabilis","","",0,1,1,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",1,1,0,0,0,"IUCN"
"231","AFROSORICIDA","Tenrecidae","Echinops","telfairi",NA,"Echinops_telfairi","","",1,1,1,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",1,1,0,0,0,"Nowak"
"233","SCANDENTIA","Tupaiidae","Urogale","everetti",NA,"Urogale_everetti","","",0,1,1,"1",0,1,0,1,1,0,1,0,0,0,0,0,0,"",0,"Omnivore",1,1,1,0,0,"Nowak"
