,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
161,"Filip∆echev, A. O., A. V. Belyachenko, and A. A. Savonin. ""The American mink Neovison vison Schreber, 1777 (Carnivora, Mustelidae) in the floodplain and right-shore ecosystems of the Volgograd water reservoir: Seasonal changes in its spatial structure, feeding, and temporal activity.""·Biology Bulletin43.10 (2016): 1407-1415.",46.565,51.325,Reported,45.65∞ - 47.48∞ E,50.69∞ - 51.90∞ N,Introduced range.,,,,,
165,"Kiseleva, N. V. ""Trophic and spatial relationships of the pine marten (Martes martes) and American mink (Neovison vison) on mountain rivers of the Southern Urals.""·Biology Bulletin39.7 (2012): 634-639.",61.5056,55.39,GoogleMaps,,,Introduced range.,,,,,
166,"Lode, T. (1993). Diet composition and habitat use of sympatric polecat and American mink in western France.·Acta Theriologica,·38(2), 161-166.",-2.25,47.46666667,Reported,2' 15' W,47' 28'N,Introduced range.,,,,,
170,"Maran, Tiit, et al. ""Diet of two species of mink in Estonia: displacement of Mustela lutreola by M. vison.""·Journal of Zoology·245.2 (1998): 218-222.",25.6568,58.7885,GoogleMaps,,,Introduced range.,,,,,
171,"Medina?Vogel, G., et al. ""Coexistence between the southern river otter and the alien invasive North American mink in marine habitats of southern Chile.""·Journal of Zoology·290.1 (2013): 27-34.",-72.75,-44.68333333,Reported,72'34' - 72'56'W,44∞30í - 44' 51'S,Introduced range.,,,,,
172,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",1.883333333,41.81666667,Reported,1∞53íE,41∞49íN,Introduced range.,,,,,
174,"Quinan, Esteban, and Patricio R. De los Rios-Escalante. ""Presence of decapods in the diet of an introduced mink (Neovison vison (Schreber, 1777)) population in a Chilean North Patagonian Lake.""·Crustaceana·84.1 (2011): 125-127.",-72.46666667,-40.66666667,Reported,72' 28'W,40'40'S,Introduced range.,,,,,
175,"Romero, Rafael, and Jos? Guitiﬂn. ""Food and feeding habits of Eurasian otter, Lutra lutra, and American mink, Neovison vison, in an Atlantic island of northwest Spain.""·Folia Zoologica·66.2 (2017): 117-125.",-9.012,42.4722,GoogleMaps,,,Introduced range.,,,,,
176,"Sep∑lveda, Maximiliano A., et al. ""Toxoplasma gondii in feral American minks at the Maullin river, Chile.""·Veterinary parasitology·175.1 (2011): 60-65.",-73.11666667,-41.43333333,Reported,73?07?W,41?26?S,Introduced range.,,,,,
177,"Sidorovich, Vadim E., Alexey G. Polozov, and Andrzej Zalewski. ""Food niche variation of European and American mink during the American mink invasion in north-eastern Belarus.""·Biological Invasions·12.7 (2010): 2207-2217.",56,32,Reported,56'E,32'N,Introduced range.,,,,,
185,"Skierczy?ski, Micha?, and Anna Wi?niewska. ""Trophic niche comparison of American mink and Eurasian otter under different winter conditions."" (2010): 433-437.",14.71666667,52.56666667,Reported,14'43'E,52'34'N,Introduced range.,,,,,
187,"Skierczy?ski, Micha?, Anna Wi?niewska, and Krystyna Stachura-Skierczy?ska. ""Feeding habits of American mink from Biebrza Wetlands affected by varied winter conditions."" (2008): 135-138.",14.71666667,52.56666667,Reported,14'43'E,52'34'N,Introduced range.,,,,,
191,"Valenzuela, Alejandro EJ, et al. ""Understanding the inter-specific dynamics of two co-existing predators in the Tierra del Fuego Archipelago: the native southern river otter and the exotic American mink.""·Biological invasions·15.3 (2013): 645-656.",-67.4376,-54.4839,GoogleMaps,,,Introduced range.,,,,,
193,"Zalewski, Andrzej, and Magdalena Bartoszewicz. ""Phenotypic variation of an alien species in a new environment: the body size and diet of American mink over time and at local and continental scales.""·Biological Journal of the Linnean Society105.3 (2012): 681-693.",14.71666667,52.56666667,Reported,14'43'E,52'34'N,Introduced range.,,,,,
204,"Zschille, Jana, et al. ""Feeding habits of invasive American mink (Neovison vison) in northern Germany˘potential implications for fishery and waterfowl.""·Acta theriologica·59.1 (2014): 25-34.",11.6,53.43333333,Reported,11∞36 E,53∞26 N,Introduced range.,,,,,
209,"Magnusdottir, Rannveig, et al. ""Habitat-and sex-related differences in a small carnivore∆s diet in a competitor-free environment.""·European journal of wildlife research·58.4 (2012): 669-676.",-19,65,Reported,13ñ25∞ W,63ñ67∞ N,Introduced range.,,,,,
225,"Wiens, Frank, Annette Zitzmann, and Nor Azman Hussein. ""Fast food for slow lorises: is low metabolism related to secondary compounds in high-energy plant diet?.""†Journal of Mammalogy†87.4 (2006): 790-798.",100.5666667,4.3,Reported,100'34'E,4'18'N,Just outside of range.,,,,,
226,"Heptner, V. G., and A. A. Sludskii. 1992. Mammals of the Soviet Union. Vol. 2, part 2, Carnivora (Hyaenas and cats). English translation, sci. ed. R. S. Hoffmann. Washington, DC: Smithsonian Institution Libraries and the National Science Foundation.",0,0,NA,NA,NA,,,,NA,NA,
227,"Bartoszewicz, M., Okarma, H., Zalewski, A., & Szcz?sna, J. (2008, August). Ecology of the raccoon (Procyon lotor) from western Poland. In·Annales Zoologici Fennici·(Vol. 45, No. 4, pp. 291-298). Finnish Zoological and Botanical Publishing.",14.71666667,52.56666667,Reported,14∞43¥E,52∞34¥N,Introduced range,,,,,
228,"Parsons, A. W., Simons, T. R., O∆Connell, A. F., & Stoskopf, M. K. (2013). Demographics, diet, movements, and survival of an isolated, unmanaged raccoon Procyon lotor (Procyonidae, Carnivora) population on the Outer Banks of North Carolina.·mammalia,·77(1), 21-30.",-76.4583,34.7068,GoogleMaps,,,,,,,,
230,"Knopff, K. H., A. A. Knopff, A. Kortello and M. S. Boyce (2010). ""Cougar Kill Rate and Prey Composition in a Multiprey System."" Journal of Wildlife Management 74(7): 1435-1447.",-115.1287,56.21,GoogleMaps,,,,,,,,
236,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",-81.5912,27.6892,GoogleMaps,,,,,,,,
237,"Moreno, R. S., R. W. Kays and R. Samudio Jr (2006). ""Competitive release in diets of ocelot (Leopardus pardalis) and puma (Puma concolor) after jaguar (Panthera onca) decline."" Journal of Mammalogy 87(4): 808-816.",-79.75833334,9.15,Reported,79'40' - 79' 51'W,9'05 - 9' 09'N,Just outside range.,,,,,
239,"Pall, O., M. Jaloktzy, and I. Ross. 1988. The cougar in Alberta. Report to the Fish and Wildlife Division, Alberta Forestry, Lands and Wildlife. 145 pp.",-114.5801,56.0636,GoogleMaps,,,,,,,,
240,"Rueda, P., et al. ""Determination of the jaguar (Panthera onca) and puma (Puma concolor) diet in a tropical forest in San Luis Potosi, Mexico."" Journal of Applied Animal Research 41.4 (2013): 484-489.",-90.375,22,Reported,90'10' - 90'35'W,21'40' - 22'20'N,Completely wrong coordinates given.,,,-100.523078,22.527939,GoogleMaps
241,"Crooks, K. R., and D. Van Vuren. 1995. Resource utilization by two insular endemic mammalian carnivores, the island fox and island spotted skunk. Oecologia 104:301˚307.",-119.75,34,Reported,199 - 45'W,34' N,Just outside range on islands,,,,,
243,"Jones, Krista L., Dirk H. Van Vuren, and Kevin R. Crooks. ""Sudden increase in a rare endemic carnivore: ecology of the island spotted skunk.""·Journal of Mammalogy·89.1 (2008): 75-86.",-119.75,34,Reported,199 - 45'W,34' N,Just outside range on islands,,,,,
245,"Cypher, B. L., Madrid, A. Y., Job, C. V. H., Kelly, E. C., Harrison, S. W. R., & Westall, T. L. (2014). Multi-population comparison of resource exploitation by island foxes: implications for conservation.·Global Ecology and Conservation,·2, 255-266.",-117.6134,33.451,GoogleMaps,,,,,,,,
246,"Cypher, B. L., Madrid, A. Y., Job, C. V. H., Kelly, E. C., Harrison, S. W. R., & Westall, T. L. (2014). Multi-population comparison of resource exploitation by island foxes: implications for conservation.·Global Ecology and Conservation,·2, 255-266.",-120.694,35.7537,GoogleMaps,,,,,,,,
247,"Cypher, B. L., Madrid, A. Y., Job, C. V. H., Kelly, E. C., Harrison, S. W. R., & Westall, T. L. (2014). Multi-population comparison of resource exploitation by island foxes: implications for conservation.·Global Ecology and Conservation,·2, 255-266.",-122.0324,36.9716,GoogleMaps,,,,,,,,
248,"Cypher, B. L., Madrid, A. Y., Job, C. V. H., Kelly, E. C., Harrison, S. W. R., & Westall, T. L. (2014). Multi-population comparison of resource exploitation by island foxes: implications for conservation.·Global Ecology and Conservation,·2, 255-266.",-122.709714,38.4479,GoogleMaps,,,,,,,,
249,"Sciullo, L., Thiemann, G. W., Lunn, N. J., & Ferguson, S. H. (2017). Intraspecific and temporal variability in the diet composition of female polar bears in a seasonal sea ice regime.·Arctic Science,·3(4), 672-688.",-97.4261,54.7668,GoogleMaps,,,,,,,,
250,"McKinney, M. A., Atwood, T. C., Iverson, S. J., & Peacock, E. (2017). Temporal complexity of southern Beaufort Sea polar bear diets during a period of increasing land use.·Ecosphere,·8(1).",0,0,Reported,NA,NA,,,,NA,NA,
252,"McKinney, M. A., Iverson, S. J., Fisk, A. T., Sonne, C., Rig?t, F. F., Letcher, R. J., ... & Dietz, R. (2013). Global change effects on the long?term feeding ecology and contaminant exposures of East Greenland polar bears.·Global change biology,·19(8), 2360-2372.",0,71.5,Reported,NA,71.5,,,,NA,71.5,
253,"Byerly, Paige A., et al. ""Resource partitioning between kit foxes (Vulpes macrotis) and coyotes (Canis latrans): a comparison of historical and contemporary dietary overlap.""†Canadian Journal of Zoology†96.5 (2017): 497-504.",-113.713363,40.655652,GoogleMaps,,,,,,,,
259,"White, P. J., Callie A. Vanderbilt White, and Katherine Ralls. ""Functional and numerical responses of kit foxes to a short-term decline in mammalian prey.""·Journal of Mammalogy·77.2 (1996): 370-376.",-119.8333333,39.25,Reported,119∞50'W,39∞15'N,Just outside range.,,,,,
